,id,title,overview,release_date,popularity,genres,average_vote,runtime,poster_path
32,8871,How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,2000-11-17,312.129,"Family, Comedy, Fantasy",6.8,104,/1WZbbPApEivA421gCOluuzMMKCk.jpg
33,5833,Casper's Haunted Christmas,"Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results.",2000-10-31,272.421,"Animation, Family, Fantasy",5.339,84,/3BFR30kh0O3NKR1Sfea3HXCG6hw.jpg
34,479753,Shockwave: Countdown to Disaster,A stolen seismic weapon is activated in Yemen. A hostage freed there tries in vain to warn against its global effect. It starts seismic activity at the Californian fault line where her daughter and ex are monitoring it. Can they stop it?,2017-09-02,382.382,"Action, Science Fiction, Adventure, Thriller",5.5,90,/sBD608VF4TcFHmP7SuC0OcvZQ0b.jpg
35,1027073,In the Land of Saints and Sinners,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.",2023-10-06,251.817,"Crime, Drama, Thriller",6.9,106,/443c0xNTLackGkFOKfbPClKMpIk.jpg
36,606870,The Survivor,"Harry Haft is a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.",2022-04-07,231.226,"History, Action, Drama",7.213,129,/oZWJ20tGWZ5xO9CrTCVavmDRy7J.jpg
37,807172,The Exorcist: Believer,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",2023-10-04,234.69,Horror,6.2,111,/fFXkAlMH2iQrNknv4eq7LGTkcti.jpg
38,298618,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",2023-06-13,259.056,"Action, Adventure, Science Fiction",6.832,144,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg
39,315162,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022-12-07,226.033,"Adventure, Fantasy, Animation, Comedy, Family, Action",8.261,103,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
40,958263,Believer 2,A determined detective continues his search for the truth behind Asia's largest drug organization and its elusive boss he has unfinished business with.,2023-10-05,218.455,"Crime, Action, Thriller",7.128,116,/g9aDZSqH5KmsHbMurhni5d2wq6q.jpg
41,1186957,The Velveteen Rabbit,"When seven-year-old William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic.",2023-11-21,235.897,"Animation, Family, Fantasy",7.554,44,/aM0ViG6LVkN1PQGe9Bon1gQXpc7.jpg
